Art in Organic Syntheses                                   ,05-May-2020,09:00-12:00,01-Mar-2020,09:00-11:00
The Material Text & its Other                              ,03-May-2020,14:00-17:00,28-Feb-2020,14:00-16:00
Field Work and Effective Communication                     ,06-May-2020,09:00-12:00,02-Mar-2020,09:00-11:00
Invisible Exchanges                                        ,02-May-2020,14:00-17:00,27-Feb-2020,14:00-16:00
Sociological Perspectives on Modernity                     ,08-May-2020,09:00-12:00,03-Mar-2020,09:00-11:00
Economic Development: Theory and Practice                  ,04-May-2020,09:00-12:00,29-Feb-2020,09:00-11:00
Material Science                                           ,03-May-2020,09:00-12:00,28-Feb-2020,09:00-11:00
Databases                                                  ,03-May-2020,14:00-17:00,28-Feb-2020,14:00-16:00
Indian Traditional Form in Contemprary Design  Seminar     ,06-May-2020,09:00-12:00,02-Mar-2020,09:00-11:00
Stem Cells Cancer and Therapy                              ,03-May-2020,09:00-12:00,28-Feb-2020,09:00-11:00
Design of Masonry Structures                               ,02-May-2020,09:00-12:00,27-Feb-2020,09:00-11:00
Power Electronics Applications in Power Systems            ,06-May-2020,09:00-12:00,02-Mar-2020,09:00-11:00
Fibre Optics                                               ,06-May-2020,14:00-17:00,02-Mar-2020,14:00-16:00
Generalized Linear Models                                  ,09-May-2020,14:00-17:00,04-Mar-2020,14:00-16:00
Biological Processes in Environmental Engg.                ,03-May-2020,09:00-12:00,28-Feb-2020,09:00-11:00
Biomedical Signal Processing                               ,05-May-2020,14:00-17:00,01-Mar-2020,14:00-16:00
Quantum Field Theory                                       ,08-May-2020,14:00-17:00,03-Mar-2020,14:00-16:00
Engineering Optics                                         ,08-May-2020,09:00-12:00,03-Mar-2020,09:00-11:00
Quantum Mechanics I                                        ,03-May-2020,09:00-12:00,28-Feb-2020,09:00-11:00
Cellular And Molecular Aspects of Aging                    ,04-May-2020,09:00-12:00,29-Feb-2020,09:00-11:00
Principles of Water Quality & EIA                          ,06-May-2020,09:00-12:00,02-Mar-2020,09:00-11:00
Mathematical Physics II                                    ,02-May-2020,09:00-12:00,27-Feb-2020,09:00-11:00
Optimal Control                                            ,08-May-2020,09:00-12:00,03-Mar-2020,09:00-11:00
Nanoelectronics and Nanophotonics                          ,04-May-2020,09:00-12:00,29-Feb-2020,09:00-11:00
Analog IC Design                                           ,02-May-2020,09:00-12:00,27-Feb-2020,09:00-11:00
Computers in Chemistry                                     ,06-May-2020,09:00-12:00,02-Mar-2020,09:00-11:00
Public Health and Development in India                     ,03-May-2020,14:00-17:00,28-Feb-2020,14:00-16:00
Spectroscopic Techniques in Chemistry                      ,05-May-2020,09:00-12:00,01-Mar-2020,09:00-11:00
Electrical Power Quality and Reliability                   ,03-May-2020,14:00-17:00,28-Feb-2020,14:00-16:00
Quality And Safety Management In Construction              ,06-May-2020,09:00-12:00,02-Mar-2020,09:00-11:00
Contemporary studies in Philosophy                         ,09-May-2020,09:00-12:00,04-Mar-2020,09:00-11:00
Phonological Acquisition                                   ,06-May-2020,14:00-17:00,02-Mar-2020,14:00-16:00
